0,33.892070,130.839943,2.515000
1,33.892232,130.839902,2.600000
2,33.892392,130.839896,2.600000
3,33.892503,130.839876,1.900000
4,33.892671,130.839865,1.732000
5,33.892803,130.839846,1.820000
6,33.892967,130.839844,2.600000
7,33.893114,130.839811,1.724000
8,33.893286,130.839790,1.700000
9,33.893452,130.839777,2.600000
10,33.893640,130.839752,1.900000
11,33.893725,130.839817,2.432000
12,33.893851,130.839807,1.944000
13,33.893978,130.839803,1.900000
14,33.894107,130.839799,2.600000
15,33.894211,130.839790,1.652000
16,33.894361,130.839764,2.200000
17,33.894493,130.839752,2.200000
18,33.894612,130.839731,2.200000
19,33.894735,130.839756,2.100000
20,33.894792,130.839846,1.622000
21,33.894844,130.839926,2.200000
22,33.894843,130.840055,1.800000
23,33.894828,130.840161,1.800000
24,33.894791,130.840229,1.736000
25,33.894720,130.840349,2.100000
26,33.894619,130.840371,1.800000
27,33.894506,130.840380,2.500000
28,33.894345,130.840394,2.500000
29,33.894162,130.840411,2.500000
30,33.894025,130.840443,2.400000
31,33.893908,130.840430,2.500000
32,33.893741,130.840458,2.500000
33,33.893707,130.840371,1.294000
34,33.893765,130.840228,1.700000
35,33.893681,130.840096,1.892000
36,33.893716,130.839832,1.900000
